gene;Arabidopsis_G18_wt22;Arabidopsis_G18_wt29;Arabidopsis_G17_mut22;Arabidopsis_Ruben_mut29
AT1G02065;0,61843812;0,545604915;0;0,51746212
AT1G02067;0;0;0;0
AT1G02070;0;0;0;0
AT1G02080;16,90036506;20,55265357;21,46626298;28,56541538
AT1G02090;7,402273309;13,21650954;12,91562066;13,1246625
AT1G02100;6,736791575;13,27359864;7,930730841;12,58893441
AT1G02110;5,517753099;5,598118998;3,166627529;6,232730429
AT1G02120;11,26829413;13,33886787;17,00145987;14,08300723
AT1G02130;13,87950235;19,13268596;11,23328291;19,35552502
AT1G02140;47,13977196;59,96429519;47,42818057;70,6304639
AT1G02145;3,924724382;7,419666835;5,610352495;8,600721201
AT1G02150;27,23919616;28,01275552;30,73850184;34,65955782
AT1G02160;8,429900568;10,9077681;18,85541748;7,523734948
AT1G02170;6,831367556;9,33188157;8,755477487;11,06316835
AT1G02180;1,385435832;3,972389261;5,504530629;2,31845528
AT1G02190;0;0,899387809;0;0,121856653
AT1G02205;5,260735119;11,27143832;4,550016333;12,12736463
AT1G02210;0;0;0;0
AT1G02220;1,408176572;4,614391566;3,019460544;7,069532199
AT1G02230;0,222832337;0,393178926;0;0,186449201
AT1G02250;0;0;0;0
AT1G02260;0,865897395;2,510026181;1,747470041;3,001571568
AT1G02270;5,590355114;4,136500419;3,662072191;5,582924288
AT1G02280;15,58902508;24,94208438;21,92886534;36,2571033
AT1G02290;3,97184437;6,689610854;4,622627547;5,740311374
AT1G02300;2,191542238;3,866890403;3,86991302;3,300689429
AT1G02305;15,29338551;26,58182455;20,35502173;30,1764559
AT1G02310;0;0;0,59860144;0
AT1G02320;0;0;0;0
AT1G02330;7,516602158;6,868209804;3,555299199;6,963178664
AT1G02335;4,515286823;10,52788309;7,688514441;8,635541934
AT1G02340;1,307730129;3,653444401;0,769747405;2,188418801
AT1G02350;1,521003539;0,670937786;2,685848941;5,726971873
AT1G02360;5,29319338;7,70519665;5,140813027;9,743674184
AT1G02370;3,212200015;3,11729058;4,96320246;4,837905675
AT1G02380;1,456132101;1,926966025;0;0,812253944
AT1G02390;0,615154906;2,035156363;0;0,900751207
AT1G02400;2,157415311;1,903337389;4,762062908;1,44412922
AT1G02405;0;0;0;0,354080156
AT1G02410;4,178298542;7,566455735;7,766533515;8,464201816
AT1G02420;2,307539603;2,405923713;0,555647156;3,861548294
AT1G02430;0;0;0;0
AT1G02440;0;0;0;0
AT1G02450;0;0;0;0
AT1G02460;0,61485816;1,08489313;0,542870577;0,38585001
AT1G02470;0;0,883108688;0;0,558371429
AT1G02475;12,94608553;24,14075042;14,80750929;18,21796347
