gene;mut_22_GH-mut_29_GH_adjPval;wt_22_GH-wt_29_GH_adjPval
AT1G07787;0,999964783;0,420398174
AT1G07850;0,999964783;0,420398174
AT4G21480;0,999964783;0,420088883
AT1G49420;0,999964783;0,420088883
AT5G60380;0,545752994;0,420088883
AT4G31685;0,999964783;0,420005566
AT1G07767;0,999964783;0,417570063
AT4G27570;0,999964783;0,416073442
AT3G27970;0,999964783;0,415958914
AT2G41616;0,999964783;0,415832291
AT5G56820;0,63423314;0,415808745
AT2G45800;0,999964783;0,414439445
AT4G37685;0,999964783;0,414396837
AT1G05153;0,999964783;0,414396837
AT3G52605;0,999964783;0,413912104
AT2G17050;0,999964783;0,413725452
AT5G67245;0,999964783;0,413725452
AT5G03635;0,999964783;0,413725452
AT1G35210;0,999964783;0,413725452
AT4G36450;0,999964783;0,413725452
AT5G58400;0,999964783;0,413725452
AT4G25000;0,999964783;0,413725452
AT1G79103;0,999964783;0,413725452
AT1G34046;0,999964783;0,413725452
AT5G60220;0,553324798;0,413725452
AT1G19397;0,999964783;0,413714648
AT4G15165;0,999964783;0,41279541
AT5G38005;0,999964783;0,412165881
AT3G51238;0,999964783;0,412165881
AT5G48905;0,90106643;0,412165881
AT1G51490;0,999964783;0,412143407
ATMG00500;0,999964783;0,411561544
AT4G01200;0,999964783;0,411125674
AT1G68360;0,999964783;0,411125674
AT2G46400;0,999964783;0,410712627
AT5G25250;0,999964783;0,410706376
AT1G05880;0,999964783;0,410645545
AT1G18320;0,999964783;0,409471732
AT1G07277;0,999964783;0,408962297
AT1G17285;0,999964783;0,408677605
AT5G21050;0,999964783;0,408677605
AT5G26900;0,999964783;0,408188822
AT1G04257;0,999964783;0,408188822
AT4G34880;0,999964783;0,407709926
AT4G13195;0,999964783;0,407709926
AT4G38300;0,999964783;0,407709926
AT1G16022;0,999964783;0,407709926
AT1G04767;0,999964783;0,407709926
AT1G08583;0,999964783;0,407709926
AT1G08627;0,999964783;0,407709926
AT1G20795;0,999964783;0,407709926
AT1G33020;0,999964783;0,407709926
AT5G48175;0,913808138;0,407709926
AT5G50510;0,851542672;0,407709926
AT5G45080;0,999964783;0,407405212
AT2G43600;0,999964783;0,407405212
AT3G26930;0,999964783;0,407405212
AT4G16146;0,999964783;0,407204848
AT5G06585;0,999964783;0,407204848
AT1G08237;0,999964783;0,407204848
AT1G24590;0,999964783;0,407204848
AT5G54480;0,708105363;0,407204848
AT2G23400;0,999964783;0,406796451
AT2G25011;0,999964783;0,406796451
AT3G46890;0,999964783;0,406571327
AT1G04237;0,999964783;0,406571327
AT1G05953;0,999964783;0,406409154
AT5G24900;0,999964783;0,405327143
AT2G07672;0,999964783;0,405327143
AT1G44414;0,999964783;0,405327143
AT1G05397;0,999964783;0,405327143
AT1G08507;0,999964783;0,405327143
AT1G33475;0,999964783;0,405301012
AT3G44770;0,999964783;0,405301012
AT1G51010;0,999964783;0,405301012
ATMG00420;0,039227275;0,404521657
AT4G21590;0,999964783;0,404391122
AT1G52603;0,999964783;0,404391122
AT1G08533;0,999964783;0,403895358
AT1G05147;0,999964783;0,403795195
AT1G06983;0,999964783;0,403795195
AT5G17165;0,999964783;0,403689312
AT4G10350;0,999964783;0,40332568
AT4G12890;0,999964783;0,40332568
AT3G44405;0,999964783;0,403103859
AT3G08490;0,999964783;0,402606646
AT5G66567;0,169834404;0,40150945
AT1G47271;0,999964783;0,400980465
AT1G08303;0,999964783;0,400980465
AT1G17990;0,999964783;0,400980465
AT1G71910;0,999964783;0,400326791
AT1G53633;0,999964783;0,400214752
AT5G45990;0,999964783;0,400214752
AT3G25880;0,999964783;0,400214752
AT1G09457;0,999964783;0,400214752
AT1G23510;0,999964783;0,400214752
AT2G09560;0,999964783;0,400214752
AT5G56770;0,63423314;0,400214752
AT5G03130;0,999964783;0,398390441
AT1G11145;0,999964783;0,398350544
AT1G65484;0,999964783;0,397449234
AT1G61880;0,999964783;0,397449234
AT1G47660;0,999964783;0,397449234
AT2G06785;0,999964783;0,397449234
AT1G27220;0,999964783;0,39682725
AT4G11400;0,999964783;0,395906952
AT1G69588;0,999964783;0,394811385
AT1G08123;0,999964783;0,394700254
AT3G23125;0,999964783;0,394178015
AT1G08137;0,999964783;0,394178015
AT1G35242;0,999964783;0,394178015
AT5G01060;0,999964783;0,394155147
AT5G28080;0,999964783;0,394155147
AT1G06453;0,999964783;0,394155147
AT1G09357;0,999964783;0,394155147
AT5G48860;0,912077811;0,393988684
AT5G26250;0,999964783;0,393846792
AT1G05497;0,999964783;0,393546336
AT3G46170;0,999964783;0,393448295
AT5G45240;0,999964783;0,393393989
AT5G01280;0,999964783;0,393011748
AT1G08053;0,999964783;0,393011748
AT2G09750;0,999964783;0,393011748
AT1G25277;0,999964783;0,392623125
AT4G36700;0,999964783;0,392623125
AT2G26380;0,999964783;0,392598493
AT5G03475;0,999964783;0,391549349
AT1G18000;0,999964783;0,391549349
AT1G55030;0,999964783;0,391549349
AT2G03445;0,999964783;0,391549349
AT2G04425;0,999964783;0,391531049
AT2G34580;0,999964783;0,391124569
AT1G08323;0,999964783;0,391124569
ATMG00930;0,008534549;0,390993194
AT2G36790;0,999964783;0,390986694
AT1G07293;0,999964783;0,390894757
AT1G08027;0,999964783;0,390894757
AT5G46140;0,999964783;0,390582131
AT5G56990;0,999964783;0,390582131
AT1G73550;0,999964783;0,390582131
AT4G01970;0,999964783;0,390582131
AT1G06903;0,999964783;0,390582131
AT1G18760;0,999964783;0,390582131
AT5G46770;0,935816308;0,390582131
ATMG00340;0,051181432;0,390505747
AT5G07560;0,999964783;0,390225691
AT1G05937;0,999964783;0,390225691
AT1G09053;0,999964783;0,390225691
