gene
AT4G17785
AT5G41040
AT1G04220
AT2G28670
AT4G34100
AT3G53510
AT3G11980
AT3G44560
AT3G44540
AT3G44550
AT2G37360
AT3G56700
AT5G23190
AT5G10280
AT1G17840
AT1G64670
AT5G13580
AT4G33790
AT5G22500
AT3G11430
AT5G58860
AT5G22420
