gene
AT4G25420
AT1G80330
AT1G30040
AT1G02400
AT1G47990
AT1G50960
AT4G21690
AT2G34555
AT1G78440
AT4G21200
AT1G60980
AT5G51810
AT1G44090
AT5G07200
AT3G47190
AT5G58660
AT1G80340
AT3G17203
AT4G02780
AT3G11540
AT1G15550
AT5G25900
GAR1
AT1G79460
AT2G02560
AT5G27320
AT3G63010
AT1G74660
AT3G05120
AT4G26420
AT1G22690
AT5G06645
AT2G39540
AT2G30810
AT2G14900
GAR13
GAR17
GAR3
AT3G47620
AT1G10588
AT3G10185
AT2G18420
GAR10
GAR16
GAR15
GAR14
GAR12
GAR11
AT5G15230
GAR6
GAR8
GAR9
GAR4
GAR5
GAR7
AT1G14920
AT4G24510
AT4G19330
AT1G01510
GOE3
AT3G47440
AT4G24210
GOE1
AT1G48270
AT4G10040
AT1G22840
GOE2
AT4G25530
AT1G18080
AT1G04870
AT4G32040
AT2G46590
AT4G26080
AT3G06930
AT1G66340
AT5G24860
AT4G32980
AT2G01570
AT3G26790
AT5G49020
AT4G39400
AT1G80350
AT5G03730
AT1G48410
AT2G44950
AT3G27920
