gene
AT4G02980
AT3G62980
AT3G26810
AT1G12820
AT4G24390
AT5G49980
AT1G05180
AT1G54990
AT1G59750
AT2G28350
AT2G46530
AT1G34310
AT1G34170
AT1G35540
AT1G35520
AT4G30080
AT1G77850
AT3G61830
AT1G19220
AT5G62000
AT1G35240
AT1G34410
AT1G34390
AT1G43950
AT2G33860
AT5G60450
AT1G19850
AT1G30330
AT5G20730
AT5G37020
AT4G23980
AT4G14560
AT1G04100
AT4G28640
AT1G04550
AT2G33310
AT4G14550
AT1G80390
AT3G04730
AT1G04250
AT1G51950
AT3G15540
AT3G23030
AT2G46990
AT5G25890
AT4G32280
AT1G04240
AT3G62100
AT3G17600
AT2G01200
AT5G57420
AT1G15050
AT5G43700
AT1G15580
AT1G15580
AT1G52830
AT3G23050
AT2G22670
AT5G65670
